OG_name,OG size (number of genomes),OG size (total number of genes)
OG_741,40,40
OG_742,40,40
OG_743,41,41
OG_744,41,41
OG_745,41,41
OG_746,41,41
OG_747,32,32
OG_748,41,41
OG_749,3,3
OG_750,22,22
OG_751,3,3
OG_752,41,41
OG_753,41,41
OG_754,41,41
OG_755,41,41
OG_756,40,40
OG_757,40,40
OG_758,25,25
OG_759,41,41
OG_760,41,41
OG_761,41,41
OG_762,41,41
OG_763,41,41
OG_764,39,39
OG_765,40,40
OG_766,41,41
OG_767,41,41
OG_768,41,41
OG_769,40,40
OG_770,17,17
OG_771,19,19
OG_772,41,41
OG_773,3,3
OG_774,3,3
OG_775,12,12
OG_776,5,5
OG_777,3,3
OG_778,3,3
OG_779,3,3
OG_780,18,18
OG_781,16,16
OG_782,17,17
OG_783,40,40
OG_784,41,42
OG_785,19,19
OG_786,18,18
OG_787,25,25
OG_788,40,40
OG_789,40,40
OG_790,40,40
OG_791,41,41
OG_792,41,41
OG_793,39,39
OG_794,40,40
OG_795,41,41
OG_796,25,25
OG_797,39,39
OG_798,41,41
OG_799,41,41
OG_800,41,41
OG_801,41,41
OG_802,41,41
OG_803,40,40
OG_804,41,41
OG_805,5,5
OG_806,41,41
OG_807,41,41
OG_808,21,21
OG_809,38,38
OG_810,22,22
OG_811,39,39
OG_812,41,41
OG_813,41,41
OG_814,41,41
OG_815,41,41
OG_816,40,40
OG_817,19,19
OG_818,41,41
OG_819,41,41
OG_820,40,40
OG_821,40,40
OG_822,41,41
OG_823,41,41
OG_824,40,40
OG_825,40,40
OG_826,41,41
OG_827,40,40
OG_828,3,3
OG_829,40,40
OG_830,40,40
OG_831,40,40
OG_832,41,41
OG_833,41,41
OG_834,41,41
OG_835,41,41
OG_836,41,41
OG_837,22,22
OG_838,37,37
OG_839,2,2
OG_840,40,40
OG_841,41,41
OG_842,40,40
OG_843,39,39
OG_844,26,26
OG_845,40,40
OG_846,40,40
OG_847,40,40
OG_848,41,41
OG_849,41,41
OG_850,41,41
OG_851,40,40
OG_852,39,39
OG_853,40,40
OG_854,40,40
OG_855,40,40
OG_856,39,39
OG_857,41,41
OG_858,41,41
OG_859,41,41
OG_860,39,39
OG_861,40,40
OG_862,37,37
OG_863,39,39
OG_864,39,39
OG_865,39,39
OG_866,39,39
OG_867,40,40
OG_868,39,39
OG_869,40,40
OG_870,40,40
OG_871,18,18
OG_872,41,41
OG_873,40,54
OG_874,41,41
OG_875,41,41
OG_876,40,40
OG_877,41,41
OG_878,40,40
OG_879,40,40
OG_880,40,40
OG_881,41,41
OG_882,41,41
OG_883,40,40
OG_884,41,41
OG_885,41,41
OG_886,39,39
OG_887,41,41
OG_888,41,41
OG_889,40,40
OG_890,25,25
OG_891,41,41
OG_892,41,41
OG_893,40,40
OG_894,40,40
OG_895,40,40
OG_896,41,41
OG_897,40,40
OG_898,40,40
OG_899,40,40
OG_900,39,39
OG_901,41,41
OG_902,41,41
OG_903,40,40
OG_904,40,40
OG_905,40,40
OG_906,41,41
OG_907,40,40
OG_908,41,41
OG_909,41,41
OG_910,40,40
OG_911,41,41
OG_912,41,41
OG_913,41,41
OG_914,40,40
OG_915,3,3
OG_916,41,41
OG_917,41,41
OG_918,40,40
OG_919,41,41
OG_920,41,41
OG_921,41,41
OG_922,41,41
OG_923,39,39
OG_924,40,40
OG_925,41,41
OG_926,40,40
OG_927,41,41
OG_928,40,40
OG_929,40,40
OG_930,41,41
OG_931,41,41
OG_932,41,41
OG_933,40,40
OG_934,40,40
OG_935,39,39
OG_936,25,25
OG_937,40,40
OG_938,40,40
OG_939,39,39
OG_940,39,39
OG_941,40,40
OG_942,40,40
OG_943,40,40
OG_944,41,41
OG_945,40,40
OG_946,40,40
OG_947,38,38
OG_948,40,40
OG_949,40,40
OG_950,25,25
OG_951,40,40
OG_952,41,41
OG_953,41,41
OG_954,41,41
OG_955,40,40
OG_956,41,41
OG_957,41,41
OG_958,41,41
OG_959,40,40
OG_960,38,38
OG_961,41,41
OG_962,21,21
OG_963,40,40
OG_964,41,41
OG_965,41,41
OG_966,31,31
OG_967,41,41
OG_968,40,40
OG_969,40,40
OG_970,41,41
OG_971,25,25
OG_972,41,41
OG_973,41,41
OG_974,40,40
OG_975,40,40
OG_976,41,41
OG_977,41,41
OG_978,25,25
OG_979,41,41
OG_980,40,40
OG_981,40,40
OG_982,41,41
OG_983,41,41
OG_984,41,41
OG_985,40,40
OG_986,40,40
OG_987,41,41
OG_988,41,41
OG_989,40,40
OG_990,25,25
OG_991,25,25
OG_992,41,41
OG_993,38,38
OG_994,41,41
OG_995,41,41
OG_996,37,37
OG_997,39,39
OG_998,39,39
OG_999,39,39
OG_1000,3,3
OG_1001,41,41
OG_1002,40,40
OG_1003,41,41
OG_1004,23,23
OG_1005,2,2
OG_1006,15,15
OG_1007,18,20
OG_1008,2,2
OG_1009,4,4
OG_1010,16,16
OG_1011,17,17
OG_1012,14,17
OG_1013,6,6
OG_1014,6,6
OG_1015,2,2
OG_1016,16,16
OG_1017,2,2
OG_1018,3,3
OG_1019,2,2
OG_1020,38,38
OG_1021,15,15
OG_1022,10,10
OG_1023,15,15
OG_1024,37,37
OG_1025,36,36
OG_1026,20,20
OG_1027,22,22
OG_1028,20,20
OG_1029,17,17
OG_1030,16,16
OG_1031,2,2
OG_1032,10,10
OG_1033,19,19
OG_1034,25,34
OG_1035,11,11
OG_1036,8,8
OG_1037,18,18
OG_1038,21,21
OG_1039,22,22
OG_1040,16,16
OG_1041,28,28
OG_1042,27,27
OG_1043,28,28
OG_1044,26,26
OG_1045,26,26
OG_1046,28,28
OG_1047,27,27
OG_1048,28,28
OG_1049,2,2
OG_1050,2,2
OG_1051,2,2
OG_1052,2,2
OG_1053,2,2
OG_1054,2,2
OG_1055,2,2
OG_1056,2,2
OG_1057,2,2
OG_1058,2,2
OG_1059,2,2
OG_1060,2,2
OG_1061,2,2
OG_1062,2,2
OG_1063,3,3
OG_1064,2,2
OG_1065,2,2
OG_1066,2,2
OG_1067,2,2
OG_1068,2,2
OG_1069,3,3
OG_1070,3,3
OG_1071,3,3
OG_1072,3,3
OG_1073,2,2
OG_1074,2,2
OG_1075,2,2
OG_1076,2,2
OG_1077,2,2
OG_1078,2,2
OG_1079,2,2
OG_1080,2,2
OG_1081,12,12
OG_1082,4,4
OG_1083,2,2
OG_1084,2,2
OG_1085,3,3
OG_1086,2,2
OG_1087,4,4
OG_1088,4,4
OG_1089,1,3
OG_1090,5,5
OG_1091,5,5
OG_1092,2,2
OG_1093,2,2
OG_1094,13,13
OG_1095,3,3
OG_1096,3,3
OG_1097,17,17
OG_1098,12,12
OG_1099,12,12
OG_1100,3,3
OG_1101,5,5
OG_1102,4,4
OG_1103,11,12
OG_1104,3,3
OG_1105,3,4
OG_1106,2,2
OG_1107,2,2
OG_1108,2,2
OG_1109,4,4
OG_1110,3,3
OG_1111,3,3
OG_1112,3,3
OG_1113,5,5
OG_1114,2,2
OG_1115,1,2
OG_1116,1,3
OG_1117,2,2
OG_1118,2,2
OG_1119,2,2
OG_1120,2,2
OG_1121,2,2
OG_1122,2,2
OG_1123,3,3
OG_1124,2,2
OG_1125,2,2
OG_1126,2,2
OG_1127,25,25
OG_1128,5,5
OG_1129,2,2
OG_1130,1,2
OG_1131,5,10
OG_1132,15,15
OG_1133,15,15
OG_1134,3,3
OG_1135,15,15
OG_1136,15,15
OG_1137,15,15
OG_1138,15,15
OG_1139,14,14
OG_1140,5,5
OG_1141,15,15
OG_1142,15,15
OG_1143,14,14
OG_1144,14,14
OG_1145,5,5
OG_1146,6,6
OG_1147,15,15
OG_1148,15,15
OG_1149,15,15
OG_1150,15,15
OG_1151,14,14
OG_1152,15,15
OG_1153,13,13
OG_1154,15,15
OG_1155,14,14
OG_1156,15,15
OG_1157,15,15
OG_1158,15,15
OG_1159,15,15
OG_1160,15,15
OG_1161,15,15
OG_1162,14,14
OG_1163,5,5
OG_1164,14,14
OG_1165,15,15
OG_1166,15,15
OG_1167,15,15
OG_1168,15,15
OG_1169,15,15
OG_1170,15,15
OG_1171,15,15
OG_1172,11,11
OG_1173,15,15
OG_1174,3,3
OG_1175,5,5
OG_1176,5,5
OG_1177,5,5
OG_1178,5,5
OG_1179,5,5
OG_1180,5,5
OG_1181,5,5
OG_1182,4,4
OG_1183,15,15
OG_1184,15,15
OG_1185,5,5
OG_1186,5,5
OG_1187,15,15
OG_1188,15,15
OG_1189,6,6
OG_1190,5,5
OG_1191,5,5
OG_1192,5,5
OG_1193,15,15
OG_1194,14,14
OG_1195,14,14
OG_1196,15,15
OG_1197,15,15
OG_1198,15,15
OG_1199,15,15
OG_1200,15,15
OG_1201,5,5
OG_1202,15,15
OG_1203,15,15
OG_1204,6,6
OG_1205,15,15
OG_1206,15,15
OG_1207,5,5
OG_1208,15,15
OG_1209,15,15
OG_1210,15,15
OG_1211,15,15
OG_1212,15,15
OG_1213,15,15
OG_1214,15,15
OG_1215,15,15
OG_1216,15,15
OG_1217,15,15
OG_1218,15,15
OG_1219,5,5
OG_1220,15,15
OG_1221,15,15
OG_1222,15,15
OG_1223,15,15
OG_1224,15,15
OG_1225,15,15
OG_1226,5,5
OG_1227,15,15
OG_1228,15,15
OG_1229,15,15
OG_1230,15,15
OG_1231,6,6
OG_1232,15,15
OG_1233,15,15
OG_1234,14,14
OG_1235,15,15
OG_1236,15,15
OG_1237,15,15
OG_1238,15,15
OG_1239,4,4
OG_1240,4,4
OG_1241,2,3
OG_1242,2,2
OG_1243,2,2
OG_1244,2,2
OG_1245,2,2
OG_1246,2,2
OG_1247,2,2
OG_1248,2,2
OG_1249,2,3
OG_1250,2,2
OG_1251,2,2
OG_1252,2,2
OG_1253,2,2
OG_1254,2,2
OG_1255,2,2
OG_1256,2,2
OG_1257,1,3
OG_1258,2,2
OG_1259,2,2
OG_1260,2,2
OG_1261,3,3
OG_1262,6,6
OG_1263,5,5
OG_1264,5,5
OG_1265,5,5
OG_1266,11,11
OG_1267,2,2
OG_1268,11,11
OG_1269,5,5
OG_1270,10,10
OG_1271,4,4
OG_1272,4,4
OG_1273,2,2
OG_1274,2,2
OG_1275,2,2
OG_1276,2,2
OG_1277,2,2
OG_1278,2,2
OG_1279,2,2
OG_1280,2,2
OG_1281,2,2
OG_1282,2,2
OG_1283,3,3
OG_1284,3,3
OG_1285,3,3
OG_1286,3,3
OG_1287,4,4
OG_1288,3,3
OG_1289,3,3
OG_1290,4,4
OG_1291,3,3
OG_1292,3,3
OG_1293,3,3
OG_1294,3,3
OG_1295,3,3
OG_1296,3,3
OG_1297,3,3
OG_1298,3,3
OG_1299,3,3
OG_1300,3,3
OG_1301,3,3
OG_1302,2,2
OG_1303,2,2
OG_1304,2,2
OG_1305,1,2
OG_1306,4,4
OG_1307,2,2
OG_1308,2,2
OG_1309,2,2
OG_1310,5,5
OG_1311,1,5
OG_1312,1,2
OG_1313,1,3
OG_1314,1,2
OG_1315,1,2
OG_1316,2,2
OG_1317,1,3
OG_1318,5,6
OG_1319,10,10
OG_1320,10,10
OG_1321,10,10
OG_1322,10,10
OG_1323,2,2
OG_1324,2,2
OG_1325,2,2
OG_1326,2,2
OG_1327,2,2
OG_1328,2,2
